AB/2	MN	SP	V	I	K	Ro_a
2	1	0	2.8	0.4	11.781	82.467
3	1	0	2	0.4	27.489	137.44
4	1	0	0.251	0.4	49.48	31.049
5	1	0	0.1784	0.4	77.754	34.678
6	1	0	0.1298	0.4	112.31	36.445
8	1	0	0.0724	0.4	200.28	36.25
10	1	0	0.0382	0.4	313.37	29.927
13	1	0	0.0189	0.4	530.14	25.049
16	1	0	0.0089	0.4	803.46	17.877
20	1	0	0.0038	0.4	1256	11.931
25	1	0	0.0024	0.4	1963	11.776
32	10	0	0.0152	0.4	313.85	11.926
40	10	0	0.0112	0.4	494.8	13.854
50	10	0	0.0077	0.4	777.54	14.968
65	10	0	0.0034	0.4	1319	11.215
80	10	0	0.0026	0.4	2003	13.018
100	10	0	0.0025	0.4	3134	19.586
125	10	0	0.0017	0.4	4901	20.829
160	10	0	0.0012	0.4	8035	24.104
200	10	0	1.00E-3	0.4	12559	31.396
